# Cycle: 34999, status: ACC
#     Step              Filename       index    vel
         0  000_230547_2209_trajB.lammpstrj          99     -1
         1  000_230547_2209_trajB.lammpstrj          98     -1
         2  000_230547_2209_trajB.lammpstrj          97     -1
         3  000_230547_2209_trajB.lammpstrj          96     -1
         4  000_230547_2209_trajB.lammpstrj          95     -1
         5  000_230547_2209_trajB.lammpstrj          94     -1
         6  000_230547_2209_trajB.lammpstrj          93     -1
         7  000_230547_2209_trajB.lammpstrj          92     -1
         8  000_230547_2209_trajB.lammpstrj          91     -1
         9  000_230547_2209_trajB.lammpstrj          90     -1
        10  000_230547_2209_trajB.lammpstrj          89     -1
        11  000_230547_2209_trajB.lammpstrj          88     -1
        12  000_230547_2209_trajB.lammpstrj          87     -1
        13  000_230547_2209_trajB.lammpstrj          86     -1
        14  000_230547_2209_trajB.lammpstrj          85     -1
        15  000_230547_2209_trajB.lammpstrj          84     -1
        16  000_230547_2209_trajB.lammpstrj          83     -1
        17  000_230547_2209_trajB.lammpstrj          82     -1
        18  000_230547_2209_trajB.lammpstrj          81     -1
        19  000_230547_2209_trajB.lammpstrj          80     -1
        20  000_230547_2209_trajB.lammpstrj          79     -1
        21  000_230547_2209_trajB.lammpstrj          78     -1
        22  000_230547_2209_trajB.lammpstrj          77     -1
        23  000_230547_2209_trajB.lammpstrj          76     -1
        24  000_230547_2209_trajB.lammpstrj          75     -1
        25  000_230547_2209_trajB.lammpstrj          74     -1
        26  000_230547_2209_trajB.lammpstrj          73     -1
        27  000_230547_2209_trajB.lammpstrj          72     -1
        28  000_230547_2209_trajB.lammpstrj          71     -1
        29  000_230547_2209_trajB.lammpstrj          70     -1
        30  000_230547_2209_trajB.lammpstrj          69     -1
        31  000_230547_2209_trajB.lammpstrj          68     -1
        32  000_230547_2209_trajB.lammpstrj          67     -1
        33  000_230547_2209_trajB.lammpstrj          66     -1
        34  000_230547_2209_trajB.lammpstrj          65     -1
        35  000_230547_2209_trajB.lammpstrj          64     -1
        36  000_230547_2209_trajB.lammpstrj          63     -1
        37  000_230547_2209_trajB.lammpstrj          62     -1
        38  000_230547_2209_trajB.lammpstrj          61     -1
        39  000_230547_2209_trajB.lammpstrj          60     -1
        40  000_230547_2209_trajB.lammpstrj          59     -1
        41  000_230547_2209_trajB.lammpstrj          58     -1
        42  000_230547_2209_trajB.lammpstrj          57     -1
        43  000_230547_2209_trajB.lammpstrj          56     -1
        44  000_230547_2209_trajB.lammpstrj          55     -1
        45  000_230547_2209_trajB.lammpstrj          54     -1
        46  000_230547_2209_trajB.lammpstrj          53     -1
        47  000_230547_2209_trajB.lammpstrj          52     -1
        48  000_230547_2209_trajB.lammpstrj          51     -1
        49  000_230547_2209_trajB.lammpstrj          50     -1
        50  000_230547_2209_trajB.lammpstrj          49     -1
        51  000_230547_2209_trajB.lammpstrj          48     -1
        52  000_230547_2209_trajB.lammpstrj          47     -1
        53  000_230547_2209_trajB.lammpstrj          46     -1
        54  000_230547_2209_trajB.lammpstrj          45     -1
        55  000_230547_2209_trajB.lammpstrj          44     -1
        56  000_230547_2209_trajB.lammpstrj          43     -1
        57  000_230547_2209_trajB.lammpstrj          42     -1
        58  000_230547_2209_trajB.lammpstrj          41     -1
        59  000_230547_2209_trajB.lammpstrj          40     -1
        60  000_230547_2209_trajB.lammpstrj          39     -1
        61  000_230547_2209_trajB.lammpstrj          38     -1
        62  000_230547_2209_trajB.lammpstrj          37     -1
        63  000_230547_2209_trajB.lammpstrj          36     -1
        64  000_230547_2209_trajB.lammpstrj          35     -1
        65  000_230547_2209_trajB.lammpstrj          34     -1
        66  000_230547_2209_trajB.lammpstrj          33     -1
        67  000_230547_2209_trajB.lammpstrj          32     -1
        68  000_230547_2209_trajB.lammpstrj          31     -1
        69  000_230547_2209_trajB.lammpstrj          30     -1
        70  000_230547_2209_trajB.lammpstrj          29     -1
        71  000_230547_2209_trajB.lammpstrj          28     -1
        72  000_230547_2209_trajB.lammpstrj          27     -1
        73  000_230547_2209_trajB.lammpstrj          26     -1
        74  000_230547_2209_trajB.lammpstrj          25     -1
        75  000_230547_2209_trajB.lammpstrj          24     -1
        76  000_230547_2209_trajB.lammpstrj          23     -1
        77  000_230547_2209_trajB.lammpstrj          22     -1
        78  000_230547_2209_trajB.lammpstrj          21     -1
        79  000_230547_2209_trajB.lammpstrj          20     -1
        80  000_230547_2209_trajB.lammpstrj          19     -1
        81  000_230547_2209_trajB.lammpstrj          18     -1
        82  000_230547_2209_trajB.lammpstrj          17     -1
        83  000_230547_2209_trajB.lammpstrj          16     -1
        84  000_230547_2209_trajB.lammpstrj          15     -1
        85  000_230547_2209_trajB.lammpstrj          14     -1
        86  000_230547_2209_trajB.lammpstrj          13     -1
        87  000_230547_2209_trajB.lammpstrj          12     -1
        88  000_230547_2209_trajB.lammpstrj          11     -1
        89  000_230547_2209_trajB.lammpstrj          10     -1
        90  000_230547_2209_trajB.lammpstrj           9     -1
        91  000_230547_2209_trajB.lammpstrj           8     -1
        92  000_230547_2209_trajB.lammpstrj           7     -1
        93  000_230547_2209_trajB.lammpstrj           6     -1
        94  000_230547_2209_trajB.lammpstrj           5     -1
        95  000_230547_2209_trajB.lammpstrj           4     -1
        96  000_230547_2209_trajB.lammpstrj           3     -1
        97  000_230547_2209_trajB.lammpstrj           2     -1
        98  000_230547_2209_trajB.lammpstrj           1     -1
        99  000_230547_2209_trajB.lammpstrj           0     -1
       100      second.lammpstrj           0     -1
